DAG,Datahub_Composer,OtherNotes
GCS_to_BQ_fcty_adc_system_check_tests_lookup_load_app,b2,Critical
GCS_to_BQ_fcty_adc_system_check_test_status_types_lookup_load_app,b2,Critical
GCS_to_BQ_fcty_adc_termination_reason_load_app,b2,Critical
GCS_to_BQ_fcty_adc_unexpected_activity_alerts_load_app,b2,Critical
GCS_to_BQ_fcty_adc_video_analytics_rule_load_app,b2,Critical
SFTP_to_GCS_adc_account_package_load_app,b2,Critical
SFTP_to_GCS_adc_account_tracking_lte_upgrade_load_app,b2,Critical
SFTP_to_GCS_adc_account_transfer_load_app,b2,Critical
SFTP_to_GCS_adc_aggregate_daily_arming_commands_load_app,b2,Critical
SFTP_to_GCS_adc_camera_event_schedules_load_app,b2,Critical
SFTP_to_GCS_adc_camera_load_app,b2,Critical
SFTP_to_GCS_adc_camera_model_load_app,b2,Critical
SFTP_to_GCS_adc_carrier_load_app,b2,Critical
SFTP_to_GCS_adc_combined_device_type_load_app,b2,Critical
SFTP_to_GCS_adc_country_load_app,b2,Critical
SFTP_to_GCS_adc_culture_load_app,b2,Critical
SFTP_to_GCS_adc_current_customer_notification_load_app,b2,Critical
SFTP_to_GCS_adc_current_customer_notification_schedules_load_app,b2,Critical
SFTP_to_GCS_adc_current_device_load_app,b2,Critical
SFTP_to_GCS_adc_customer_account_details_load_app,b2,Critical
SFTP_to_GCS_adc_customer_account_terminated_details_load_app,b2,Critical
SFTP_to_GCS_adc_customer_best_practice_load_app,b2,Critical
SFTP_to_GCS_adc_customer_creatingandterminating_rep_load_app,b2,Critical
SFTP_to_GCS_adc_customer_current_address_load_app,b2,Critical
SFTP_to_GCS_adc_customer_daily_logins_load_app,b2,Critical
SFTP_to_GCS_adc_customer_logins_load_app,b2,Critical
SFTP_to_GCS_adc_customer_notification_type_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_customer_onsite_wrapup_load_app,b2,Critical
SFTP_to_GCS_adc_customer_onsite_wrapup_tasks_configuration_load_app,b2,Critical
SFTP_to_GCS_adc_customer_panel_firmware_load_app,b2,Critical
SFTP_to_GCS_adc_customer_scenes_load_app,b2,Critical
SFTP_to_GCS_adc_customer_service_feature_addon_load_app,b2,Critical
SFTP_to_GCS_adc_customer_usage_report_load_app,b2,Critical
SFTP_to_GCS_adc_dealer_branch_load_app,b2,Critical
SFTP_to_GCS_adc_dealer_branch_type_load_app,b2,Critical
SFTP_to_GCS_adc_dealer_load_app,b2,Critical
SFTP_to_GCS_adc_dealer_rep_load_app,b2,Critical
SFTP_to_GCS_adc_device_manufacturer_load_app,b2,Critical
SFTP_to_GCS_adc_device_model_load_app,b2,Critical
SFTP_to_GCS_adc_device_note_load_app,b2,Critical
SFTP_to_GCS_adc_dntl_load_app,b2,Critical
SFTP_to_GCS_adc_events_load_app,b2,Critical
SFTP_to_GCS_adc_invisawear_load_app,b2,Critical
SFTP_to_GCS_adc_invoice_detail_hardware_load_app,b2,Critical
SFTP_to_GCS_adc_light_rules_load_app,b2,Critical
SFTP_to_GCS_adc_login_with_access_load_app,b2,Critical
SFTP_to_GCS_adc_modem_load_app,b2,Critical
SFTP_to_GCS_adc_modem_sim_detail_load_app,b2,Critical
SFTP_to_GCS_adc_network_generation_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_network_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_network_type_load_app,b2,Critical
SFTP_to_GCS_adc_package_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_panel_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_postal_code_load_app,b2,Critical
SFTP_to_GCS_adc_product_feature_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_radio_network_type_load_app,b2,Critical
SFTP_to_GCS_adc_radio_type_load_app,b2,Critical
SFTP_to_GCS_adc_reporting_panel_type_load_app,b2,Critical
SFTP_to_GCS_adc_security_rules_load_app,b2,Critical
SFTP_to_GCS_adc_sensor_walk_test_load_app,b2,Critical
SFTP_to_GCS_adc_service_plan_feature_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_setup_wizard_status_load_app,b2,Critical
SFTP_to_GCS_adc_setup_wizard_status_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_signal_rating_history_load_app,b2,Critical
SFTP_to_GCS_adc_state_and_provinces_load_app,b2,Critical
SFTP_to_GCS_adc_system_check_details_load_app,b2,Critical
SFTP_to_GCS_adc_system_check_test_items_load_app,b2,Critical
SFTP_to_GCS_adc_system_check_test_result_types_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_system_check_tests_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_system_check_test_status_types_lookup_load_app,b2,Critical
SFTP_to_GCS_adc_termination_reason_load_app,b2,Critical
SFTP_to_GCS_adc_unexpected_activity_alerts_load_app,b2,Critical
SFTP_to_GCS_adc_video_analytics_rule_load_app,b2,Critical
BQ_to_BQ_ent_tiq_asset_dtl_load_app,b2,Supported
BQ_to_BQ_ent_tiq_cust_req_dtl_load_app,b2,Supported
BQ_to_BQ_ent_tiq_cust_req_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_amt_info_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_cntrct_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_itm_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_ord_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_pay_grp_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_prc_adjmt_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_rnew_redemp_log_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_shp_grp_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_sku_load_app,b2,Supported
BQ_to_BQ_ent_tiq_ecomm_tl_xfr_load_app,b2,Supported
BQ_to_BQ_ent_tiq_org_hier_dtl_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_act_typ_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_asset_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_cust_rqst_dtl_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_cust_rqst_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_dcspp_amt_info_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_dcspp_itm_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_dcspp_ord_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_dcspp_pay_grp_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_dcspp_prc_adjmt_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_dcspp_shp_grp_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_dcspp_sku_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_tl_cntrct_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_tl_ord_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_tl_rnew_redemp_log_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_tl_telus_itm_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_ecomm_tl_xfr_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_attr_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_cntrct_attr_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_node_attr_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_node_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_node_prog_cd_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_node_proj_cd_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_node_to_subscr_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_nodetyp_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_org_subscr_attr_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_rqst_typ_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_rsn_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_stat_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_subscr_serv_pkg_chng_load_app,b2,Supported
GCS_to_BQ_fcty_tiq_user_load_app,b2,Supported
BQ_to_BQ_fcty_ent_svcrqst_subscriber_wls_throttle_days_sum_load_app,,Supported; Aaditya
BQ_to_BQ_fcty_ent_svcrqst_subsc_wls_blk_unblk_consent_evnt_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_action_type_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_actor_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_actor_role_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_actor_type_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_application_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_block_cond_type_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_brand_name_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_consent_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_consent_type_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_event_type_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_header_actor_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_header_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_header_relationship_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_item_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_network_service_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_ntwk_usage_type_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_ntwk_zone_type_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_status_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_svcrqst_technology_type_load_app,,Supported; Aaditya
BQ_to_BQ_Detokenization_fcty_tmf680_chnl_load_app,,Critical
BQ_to_BQ_Detokenization_fcty_tmf680_place_load_app,,Critical
BQ_to_BQ_Detokenization_fcty_tmf680_prod_load_app,,Critical
BQ_to_BQ_Detokenization_fcty_tmf680_prod_offr_load_app,,Critical
BQ_to_BQ_Detokenization_fcty_tmf680_prod_price_altertn_load_app,,Critical
BQ_to_BQ_Detokenization_fcty_tmf680_reco_item_load_app,,Critical
BQ_to_BQ_Detokenization_fcty_tmf680_reco_load_app,,Critical
BQ_to_BQ_Detokenization_fcty_tmf680_rel_party_load_app,,Critical
BQ_to_BQ_fcty_npl_market_saleslead_collection_load_app,,Supported
GCS_to_BQ_fcty_npl_market_saleslead_prospect_customer_load_app,,Supported
GCS_to_BQ_fcty_mastermind_action_t_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_alarm_incident_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_bill_code_t_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_contact_archive_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_contact_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_contract_cancel_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_contract_cancel_recur_line_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_contract_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_customer_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_employee_action_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_event_history_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_event_t_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_invoice_line_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_job_employee_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_job_line_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_job_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_job_status_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_open_item_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_recur_line_discount_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_recur_line_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_site_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_system_load_app,b2,Critical
GCS_to_BQ_fcty_mastermind_time_zone_t_load_app,b2,Critical
GCS_to_BQ_fcty_smhs_vw_ssa_customer_load_app,b2,Critical
BQ_to_BQ_fcty_lynx_ent_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_account_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_action_comment_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_action_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_asset_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_employee_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_facility_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_trouble_ticket_desc_load_app,b1,Supported
GCS_to_BQ_fcty_lynx_trouble_ticket_load_app,b1,Supported
GCS_to_GCS_lynx_load_app,b1,Supported
GCS_to_BQ_fcty_gpone_v_pon_alarm_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_pon_data_operational_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_pon_data_performance_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_pon_line_summary_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_pon_olt_equipment_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_pon_ont_equipment_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_pon_pe_olt_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_pon_pe_ont_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_ports_line_card_data_load_app,b2,Critical
GCS_to_BQ_fcty_gpone_v_status_code_description_load_app,b2,Critical
BQ_to_BQ_fcty_cujo_cloudcheck_load_app,b2,Supported
GCS_to_BQ_fcty_cujo_cloudcheck_load_app,b2,Supported
S3_to_GCS_cujo_cloudcheck_ingestion_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_account_coll_act_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_account_deposit_hist_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_account_financial_hist_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_account_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_account_pymt_hist_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_adjd_scorecard_attrb_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_crd_bureau_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_crd_lmt_prgm_act_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_crd_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_crd_prgm_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_crd_worth_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_credit_profile_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_bureau_info_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_fraud_disposition_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_keys_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_keys_name_value_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_prgm_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_trn_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_warn_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dcsn_worth_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_device_pmt_plan_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dvc_pmt_plan_elig_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_dvc_pmt_plan_thresh_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_elig_dcsn_prgm_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_elig_dcsn_prgm_rsn_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_fraud_scoring_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_lgcy_crd_check_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_security_dep_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_sub_elig_rslt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_subscriber_info_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_car_warning_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_cprofl_worth_warning_hist_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_credit_assessment_request_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_fraud_case_rule_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_fraud_score_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_fraud_score_rsn_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_fraud_trn_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_fraud_watson_trn_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_ovrd_actvy_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_ovrd_crd_worth_activity_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_parsed_bureau_crd_rpt_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_uc_data_inquiry_error_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_uc_fraud_msg_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_uc_search_result_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_uc_warning_hist_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_uc_wln_match_customer_load_app,b2,Supported
GCS_to_BQ_fcty_crmgt_uc_wls_match_account_load_app,b2,Supported
GCS_to_GCS_igt_crmgt_fraud_trn_decryption_load_app,b2,Supported
GCS_to_GCS_igt_crmgt_fraud_trn_load_app,b2,Supported
GCS_to_GCS_igt_crmgt_fraud_watson_trn_load_app,b2,Supported
BQ_to_BQ_fcty_sapcc_subscriber_wls_data_allowance_load_app,b1,Supported
BQ_to_BQ_fcty_sapcc_wls_soc_allowance_load_app,b1,Supported
GCS_to_BQ_fcty_sapcc_translation_instance_load_app,b1,Supported
GCS_to_BQ_fcty_sapcc_translation_row_load_app,b1,Supported
GCS_to_BQ_fcty_sapcc_translation_table_load_app,b1,Supported
S3_to_GCS_adobe_analytics_ingestion_app,b1,Supported
BQ_to_BQ_fcty_ent_xref_googlesyncid_uuid_mid_google_syncid_uuid_xref_load_app,b1,Supported
GCS_to_BQ_fcty_adobe_analytics_mid_google_syncid_uuid_xref_load_app,b1,Supported
BQ_to_BQ_fcty_ent_hpbi_dly_servreq_actvy_sum_load_app,b1,Supported
BQ_to_BQ_fcty_ent_hpbi_dly_servreq_item_actvy_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_brand_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_dly_servreq_actvy_sum_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_dly_servreq_item_actvy_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_mktg_offer_tier_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_rate_area_centre_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_service_request_actor_role_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_service_request_event_type_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_service_request_status_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_servreq_action_type_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_servreq_application_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_servreq_reason_dim_load_app,b1,Supported
GCS_to_BQ_fcty_hpbi_technology_type_dim_load_app,b1,Supported
BQ_to_BQ_fcty_ent_wifi_aptilo_registration_load_app,b1,Supported
GCS_to_BQ_fcty_wifi_aptilo_wifi_registration_load_app,b1,Supported
GCS_to_GCS_wifi_aptilo_wifi_registration_load_app,b1,Supported
GCS_to_BQ_fcty_ngsp_prospect_channel_customer_quote_load_app,c1,Supported
GCS_to_BQ_fcty_contentful_prospect_customer_leadgen_load_app,b1,Supported
GCS_to_BQ_fcty_smarthub_smarthub_prospect_customer_load_app,c1,Supported
GCS_to_BQ_fcty_tcom_prospect_general_pages_load_app,b1,Supported
GCS_to_BQ_fcty_formbuilder_web_page_prospect_customer_load_app,b1,Supported; Hourly. Make sure next hour is completed.
BQ_to_BQ_fcty_ent_ngsp_chnl_prosp_cust_quot_load_app,c1,Supported
BQ_to_BQ_fcty_ent_contentful_prosp_cust_leadgen_load_app,b1,Supported
BQ_to_BQ_fcty_ent_smarthub_telus_prosp_cust_load_app,c1,Supported
BQ_to_BQ_fcty_ent_tcom_prosp_gen_pages_load_app,b1,Supported
BQ_to_BQ_fcty_ent_formbuilder_web_cmpgn_coll_load_app,b1,Supported
Pubsub_to_Tgt_fcty_formbuilder_datahub_adptr_load_app,b1,Supported
BQ_to_BQ_fcty_ent_formbuilder_datahub_adptr_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_capture_point_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_category_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_custom_dim_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_date_time_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_department_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_etl_audit_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_event_date_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_event_time_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_h_task_event_fact_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_h_task_fact_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_h_task_work_fact_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_i_task_event_fact_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_i_task_fact_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_i_task_work_fact_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_media_channel_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_process_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_product_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_queue_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_queue_target_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_result_code_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_skill_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_source_process_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_status_load_app,b1,Supported
GCS_to_BQ_fcty_iwd_task_event_type_load_app,b1,Supported
GCS_to_BQ_fcty_sems_non_telus_pcs_equip_load_app,,Critical
GCS_to_BQ_fcty_sems_usim_pcs_device_assoc_load_app,,Critical
GCS_to_BQ_fcty_sems_subscriber_network_num_load_app,,Critical
GCS_to_BQ_fcty_crdb_reward_txn_load_app,,Critical
GCS_to_BQ_fcty_crdb_reward_txn_rsn_load_app,,Critical
GCS_to_BQ_fcty_crdb_reward_txn_typ_load_app,,Critical
GCS_to_BQ_fcty_crdb_reward_rsn_typ_load_app,,Critical
BQ_to_BQ_fcty_qualtrics_customer_prospect_survey_load_app,,Supported
GCS_to_BQ_fcty_qualtrics_customer_prospect_survey_load_app,,Supported
qualtrics_jsonToCSV,,Supported
BQ_to_BQ_fcty_campaign_cm_em_eoc_events_detl_v2_load_app,b1,Supported
GCS_to_BQ_fcty_adobe_campaign_cm_em_eoc_events_detl_v2_load_app,,Supported
GCS_to_BQ_fcty_pods_billing_request_load_app,b1,Critical
GCS_to_BQ_fcty_pods_generic_description_reference_load_app,b1,Critical
GCS_to_BQ_fcty_pods_request_line_item_load_app,b1,Critical
GCS_to_BQ_fcty_pods_tax_credit_item_load_app,b1,Critical
GCS_to_BQ_fcty_pods_team_member_load_app,b1,Critical
GCS_to_BQ_fcty_kb_user_env_profile_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_users_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_work_position_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_wp_approval_level_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_cancel_reason_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_csm_status_act_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_pending_adjustment_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_srv_classification_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_follow_up_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_address_data_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_address_name_link_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_ban_discount_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_billing_account_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_contract_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_credit_history_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_customer_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_feature_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_pp_ac_rate_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_pp_oc_rate_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_pp_rc_rate_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_pp_uc_rate_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_rated_feature_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_service_agreement_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_service_feature_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_soc_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_soc_attr_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_subscriber_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_kb_subscriber_rsource_load_app,,Critical; Aaditya
GCS_to_BQ_fcty_evs_affiliates_submission_load_app,b2,Supported
GCS_to_BQ_fcty_evs_epp_submission_load_app,b2,Supported
GCS_to_BQ_fcty_evs_evs_telus_master_event_load_app,b2,Supported
GCS_to_BQ_fcty_evs_sbs_submission_load_app,b2,Supported
S3_to_GCS_evs_load_app,b2,Supported
BQ_to_BQ_fcty_prospect_verification_ent_load_app,b2,Supported
BQ_to_BQ_Detokenization_fcty_prospect_verification_evs_telus_master_event_load_app,b2,Supported
GCS_to_BQ_fcty_evs_evs_telus_master_report_load_app,b2,Supported
BQ_to_BQ_fcty_prospect_verification_telus_master_report_load_app,b2,Supported
GCS_to_BQ_fcty_dsm_data_cpe_load_app,,Supported
GCS_to_BQ_fcty_dsm_data_operational_load_app,,Supported
GCS_to_BQ_fcty_dsm_pe_load_app,,Supported
GCS_to_BQ_fcty_dsm_performance_load_app,,Supported
GCS_to_BQ_fcty_dsm_port_info_load_app,,Supported
BQ_to_BQ_fcty_dsm_data_cpe_load_app,,Supported
BQ_to_BQ_fcty_dsm_data_operational_load_app,,Supported
BQ_to_BQ_fcty_dsm_pe_load_app,,Supported
BQ_to_BQ_fcty_dsm_performance_load_app,,Supported
CloudSQL_to_BQ_fcty_cpms_channel_organization_load_app,b1,Supported
CloudSQL_to_BQ_fcty_cpms_channel_organization_type_load_app,b1,Supported
CloudSQL_to_BQ_fcty_cpms_channel_org_outlet_hist_load_app,b1,Supported
CloudSQL_to_BQ_fcty_cpms_cross_reference_load_app,b1,Supported
CloudSQL_to_BQ_fcty_cpms_sales_rep_chnl_org_load_app,b1,Supported
