DAG,Datahub_Composer,OtherNotes
BQ_to_BQ_fcty_wrk_clickstream_event_wrk_load_app,b2,Critical
GCS_to_BQ_fcty_color_depth_clickstream_load_app,b2,Critical
callcenterinsights_vca_load_app,b2,Critical
callcenterinsights_vca_cust_denormalize_load_app,b2,Critical
BQ_to_BT_fcty_ucar_bt_mktg_pp_ftr_hist_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_mktg_seg_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_predict_modl_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_ucir_bacct_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_ucir_cust_profl_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_ucir_key_xref_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_ucir_prod_instnc_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_wln_cmpgn_load_app,b1,Critical
BQ_to_BT_fcty_ucar_bt_wls_cmpgn_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_ban_profl_uuid_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_billing_account_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_billing_account_profl_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_curr_portal_access_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_customer_profl_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_cust_profl_all_emails_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_cust_profl_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_cust_seg_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_dly_mktg_profl_product_instance_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_dmp_prospect_segment_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_pcamp_cntct_cust_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_pcamp_dnc_email_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_predict_modl_invntry_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_priceplan_feature_history_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_product_instance_profl_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_ucar_wln_cntct_cust_dlake_load_app,b1,Critical
GCS_to_BQ_fcty_dlake_ucir_dly_mktg_billing_account_load_app,b1,Critical
GCS_to_BQ_fcty_dlake_ucir_dly_mktg_profl_product_instance_load_app,b1,Critical
CloudSQL_to_BQ_fcty_techhub_job_risk_assessment_load_app,,Supported
CloudSQL_to_BQ_fcty_techhub_job_risk_involvement_load_app,,Supported
CloudSQL_to_BQ_fcty_techhub_remark_load_app,,Supported
CloudSQL_to_BQ_fcty_techhub_job_risk_response_load_app,,Supported
CloudSQL_to_BQ_fcty_techhub_load_app,,Supported
techhub_job_risk_load_app,,Supported
GCS_to_BQ_fcty_pods_load_app,,Critical
BQ_to_BQ_fcty_prod_offr_wln_price_plan_allow_load_app,,Critical
